style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Wind Rises Caproni | Капрони Ветер крепчает,"стиль Studio Ghibli, сцена самолета Капрони Ветер крепчает, детализированный дизайн итальянского самолета 1920-х годов, детали конструкции крыльев, текстуры мягких карандашных эскизов, ностальгические авиационные мечты, фоновые рисунки акварелью","фэнтези элементы, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие радостные цвета, цифровые эффекты"
Yamadas Living Room | Гостиная Мои соседи Ямады,"стиль Studio Ghibli, сцена семейной гостиной Мои соседи Ямады, минималистичные акварельные фоны, простые взаимодействия персонажей, момент японской повседневной жизни, мягкий юмор, мягкие пастельные цвета","детализированная анимация, западная мультяшная анимация, 3D рендеринг, фэнтези элементы, фотореалистичные текстуры, драматические сцены экшен, цифровые эффекты"
Earwig Potions | Зелья Арриетти и ведьма,"стиль Studio Ghibli, сцена приготовления зелий Арриетти и ведьма, булькающие котлы, детализированные магические ингредиенты, эффекты мягкого света свечей, текстуры ручной росписи, интерьер дома европейской ведьмы","темные хоррор темы, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшная комедия, фотореалистичные текстуры, цифровые эффекты"
Spirited Away Spirit World | Мир духов Унесенных призраками,"стиль Studio Ghibli, сцена мира духов Унесенных призраками, детализированные сверхъестественные существа, мягкая магическая атмосфера, фоновые рисунки акварелью, нежная духовная энергия, детали архитектуры другого мира","3D CGI рендеринг, западная мультяшная анимация, мультяшная комедия, темные взрослые темы, резкие края, фотореалистичные текстуры, цифровые эффекты"
Totoro Tree | Дерево Тоторо,"стиль Studio Ghibli, сцена гигантского камфорного дерева Тоторо, детализированная текстура коры, полый ствол с гнездом Тоторо, эффекты мягкого лунного света, магическая атмосфера леса, текстуры ручной росписи","темные хоррор темы, западная мультяшная анимация, 3D рендеринг, резкие линии, фотореалистичные текстуры, мультяшная комедия, взрослые темы"
Mononoke Wolf Gods | Волчий бог Принцессы Мононокэ,"стиль Studio Ghibli, сцена волчьего бога Принцессы Мононокэ, детализированный белый дух-волк Моро, присутствие божества леса, духовная атмосфера, фоновые рисунки акварелью, тема защитника природы","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, яркие плоские цвета, мультяшные пропорции, цифровые эффекты, фокус на человеческих технологиях"
Howl's Transformation | Трансформация Ходячего замка,"стиль Studio Ghibli, сцена трансформации Ходячего замка, изменение формы человека в птицу, эффекты магических перьев, мягкие акварельные фоны, эмоциональное развитие персонажа, анимация ручной росписи","темные дистопические темы, западная мультяшная анимация, 3D рендеринг, резкие механические края, фотореалистичные текстуры, мультяшная комедия, современные технологии"
Ponyo Sisters | Сестры Поньо,"стиль Studio Ghibli, сцена сестер Поньо под водой, детализированные духи океана, магические водные эффекты, детская простота, яркая цветовая палитра, анимация ручной росписи, плавное движение","темные взрослые темы, западная мультяшная анимация, 3D рендеринг, реалистичная физика океана, фотореалистичные текстуры, взрослая драма, сложные дизайны персонажей"
Kiki's Delivery | Доставка Кики,"стиль Studio Ghibli, сцена доставки Кики, детализированная переноска посылок, прибрежный город внизу, мягкое движение облаков, акварельные небеса, ностальгическая атмосфера службы, эффекты мягкого ветра","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, резкие архитектурные линии, фотореалистичные текстуры, темные драматические темы, мультяшная комедия"
Nausicaa Insect | Насекомое Навсикая,"стиль Studio Ghibli, сцена насекомого Навсикаи, гигантское бронированное существо Охму с голубыми глазами, детализированная среда токсичного леса, тема духовной связи, фоновые рисунки акварелью","городская среда, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшные пропорции, фокус на современных технологиях, цифровые эффекты"
Laputa Crystal | Кристалл Лапуты,"стиль Studio Ghibli, сцена кристалла Лапуты, древний светящийся источник энергии, детализированная механическая интеграция, эффекты мягкого света, тема мирного заброшенности, текстуры ручной росписи","современные технологии, западная мультяшная анимация, 3D рендеринг, резкие чистые линии, фотореалистичные текстуры, темные дистопические темы, мультяшная комедия"
